#ZEITBEREICH: 08.06.2015 bis 08.06.2016
Datum;Zeit;AABU NO2 AM1H [µg/m³];BIEL NO2 AM1H [µg/m³];BONN NO2 AM1H [µg/m³];BORG NO2 AM1H [µg/m³];BOTT NO2 AM1H [µg/m³];CHOR NO2 AM1H [µg/m³];DATT NO2 AM1H [µg/m³];DDCS NO2 AM1H [µg/m³];DMD2 NO2 AM1H [µg/m³];DUB2 NO2 AM1H [µg/m³];EIFE NO2 AM1H [µg/m³];ELAN NO2 AM1H [µg/m³];EVOG NO2 AM1H [µg/m³];GELS NO2 AM1H [µg/m³];HATT NO2 AM1H [µg/m³];HUE2 NO2 AM1H [µg/m³];JACK NO2 AM1H [µg/m³];JHNK NO2 AM1H [µg/m³];KRHA NO2 AM1H [µg/m³];LEV2 NO2 AM1H [µg/m³];LOER NO2 AM1H [µg/m³];MSGE NO2 AM1H [µg/m³];NETT NO2 AM1H [µg/m³];NIED NO2 AM1H [µg/m³];RAT2 NO2 AM1H [µg/m³];RODE NO2 AM1H [µg/m³];ROTH NO2 AM1H [µg/m³];SHW2 NO2 AM1H [µg/m³];SOES NO2 AM1H [µg/m³];SOLI NO2 AM1H [µg/m³];STYR NO2 AM1H [µg/m³];UNNA NO2 AM1H [µg/m³];VACW NO2 AM1H [µg/m³];VBID NO2 AM1H [µg/m³];VDOM NO2 AM1H [µg/m³];VDOR NO2 AM1H [µg/m³];VDUI NO2 AM1H [µg/m³];VEAE NO2 AM1H [µg/m³];VESN NO2 AM1H [µg/m³];VGES NO2 AM1H [µg/m³];VGLG NO2 AM1H [µg/m³];VHAM NO2 AM1H [µg/m³];VKCL NO2 AM1H [µg/m³];VKTU NO2 AM1H [µg/m³];VLEG NO2 AM1H [µg/m³];VMGF NO2 AM1H [µg/m³];VMGR NO2 AM1H [µg/m³];VMS2 NO2 AM1H [µg/m³];VOBM NO2 AM1H [µg/m³];VWEL NO2 AM1H [µg/m³];WALS NO2 AM1H [µg/m³];WAST NO2 AM1H [µg/m³];WESE NO2 AM1H [µg/m³];WULA NO2 AM1H [µg/m³]
08.06.2015;11:00;19;21;<10;<10;<10;<10;<10;28;11;23;16;18;16;<10;13;16;13;12;14;15;<10;<10;<10;13;<10;12;<10;<10;<10;17;14;<10;51;31;45;20;25;46;24;32;;49;52;28;31;18;14;21;37;27;<10;<10;;
08.06.2015;12:00;18;20;<10;<10;<10;<10;<10;30;<10;17;;19;12;<10;13;14;11;12;17;13;<10;<10;11;<10;<10;<10;<10;<10;<10;15;12;<10;38;30;39;17;23;39;22;;;45;63;31;34;12;;28;28;26;<10;<10;<10;
08.06.2015;13:00;15;24;<10;<10;<10;<10;<10;27;<10;23;13;21;<10;<10;<10;13;11;<10;17;13;<10;<10;<10;<10;<10;10;<10;<10;<10;17;<10;<10;33;33;45;14;21;37;23;31;;64;53;25;24;12;13;28;29;32;<10;<10;<10;
08.06.2015;14:00;;21;<10;<10;<10;<10;<10;36;<10;25;14;15;11;<10;<10;11;13;10;21;11;<10;<10;<10;<10;<10;<10;<10;<10;;17;<10;<10;46;24;43;16;22;42;21;29;;46;54;30;29;14;15;28;29;32;<10;<10;<10;
08.06.2015;15:00;14;26;<10;<10;<10;<10;<10;39;<10;28;13;19;11;<10;<10;10;<10;<10;19;10;<10;<10;<10;<10;<10;11;;<10;<10;15;<10;<10;50;30;;15;23;53;31;37;;50;53;26;36;15;12;35;28;34;<10;<10;<10;<10
08.06.2015;16:00;13;25;<10;<10;<10;<10;<10;47;<10;22;11;20;12;<10;;<10;<10;<10;16;15;<10;<10;11;<10;<10;13;<10;<10;<10;12;<10;<10;45;39;49;24;21;74;31;33;;43;59;26;44;16;12;38;29;;<10;<10;<10;<10
08.06.2015;17:00;13;;;<10;<10;<10;<10;49;<10;16;<10;20;17;<10;<10;<10;<10;<10;<10;13;<10;<10;<10;<10;<10;15;<10;<10;<10;11;<10;<10;47;38;42;17;;60;28;25;;60;56;28;33;17;12;32;30;34;<10;<10;<10;<10
08.06.2015;18:00;13;19;12;<10;<10;<10;<10;47;10;28;11;25;<10;<10;<10;12;<10;<10;11;17;<10;<10;<10;<10;<10;12;<10;<10;<10;12;<10;<10;44;35;34;17;22;45;30;22;;56;46;26;33;11;10;27;22;34;;<10;<10;11
08.06.2015;19:00;13;19;11;<10;<10;<10;<10;;<10;48;13;23;10;<10;<10;12;<10;<10;11;17;<10;<10;<10;<10;<10;<10;<10;;<10;14;<10;<10;;29;28;13;15;36;19;22;;47;38;26;31;12;<10;30;21;33;<10;<10;<10;11
08.06.2015;20:00;13;20;11;<10;<10;<10;<10;25;<10;45;12;19;10;<10;<10;10;<10;<10;11;16;11;<10;<10;<10;<10;;<10;<10;<10;12;<10;<10;31;20;30;13;14;25;22;19;;39;;22;21;14;12;24;24;35;<10;<10;<10;12
08.06.2015;21:00;13;16;11;<10;;<10;<10;23;<10;49;12;19;14;11;<10;11;<10;<10;13;17;;<10;<10;<10;10;15;<10;11;<10;15;<10;<10;36;13;38;15;12;26;20;22;;26;40;21;17;14;11;;24;26;<10;<10;<10;14
08.06.2015;22:00;13;14;12;<10;14;<10;<10;22;13;39;<10;;19;<10;<10;<10;<10;<10;18;18;<10;<10;<10;<10;11;22;<10;12;<10;13;<10;;36;12;33;13;11;21;16;19;;24;49;25;23;10;<10;18;;21;11;<10;<10;15
08.06.2015;23:00;<10;11;12;<10;13;;<10;24;<10;49;<10;13;<10;<10;<10;12;<10;<10;16;15;11;<10;<10;<10;<10;21;<10;<10;<10;11;<10;<10;21;<10;21;<10;11;14;13;14;;22;31;;17;10;<10;14;20;19;<10;<10;<10;14
08.06.2015;24:00;<10;<10;14;<10;<10;<10;<10;14;10;17;11;13;<10;<10;<10;11;<10;<10;13;;<10;;;<10;<10;20;<10;<10;<10;10;<10;<10;16;<10;22;<10;17;13;16;13;;11;26;16;12;<10;11;<10;16;11;<10;<10;<10;11
09.06.2015;01:00;11;<10;11;<10;<10;<10;<10;<10;12;36;13;14;<10;<10;<10;<10;<10;<10;16;<10;<10;<10;<10;<10;<10;<10;<10;<10;<10;<10;<10;11;18;<10;21;11;15;16;13;22;;11;15;12;<10;10;13;12;17;<10;<10;<10;<10;<10
09.06.2015;02:00;12;11;<10;;<10;<10;<10;<10;<10;34;11;16;<10;<10;<10;<10;<10;<10;19;<10;<10;<10;<10;;<10;<10;<10;10;<10;<10;<10;<10;15;<10;27;14;16;14;<10;18;;;15;12;<10;;15;<10;16;<10;<10;<10;<10;10
09.06.2015;03:00;<10;<10;<10;<10;<10;<10;<10;<10;14;15;<10;18;<10;;<10;<10;<10;12;17;<10;<10;<10;<10;<10;<10;<10;<10;14;<10;<10;<10;<10;15;;25;;23;;11;18;;35;16;<10;<10;<10;15;<10;14;11;<10;<10;<10;<10
09.06.2015;04:00;<10;17;12;<10;<10;<10;<10;12;12;25;<10;22;15;11;<10;<10;<10;12;18;<10;<10;<10;<10;<10;<10;12;<10;19;<10;<10;<10;23;18;17;22;15;21;27;14;31;;36;26;13;<10;13;16;<10;20;13;<10;<10;<10;<10
09.06.2015;05:00;15;35;12;<10;12;<10;<10;22;27;51;<10;29;12;26;<10;<10;;13;25;18;<10;11;11;<10;12;23;<10;22;<10;<10;18;26;30;35;30;23;35;45;27;43;;54;50;19;18;22;21;25;33;26;14;12;11;23
09.06.2015;06:00;21;37;15;12;16;13;<10;32;;42;<10;34;21;27;11;16;23;19;33;30;24;16;15;<10;;33;<10;27;<10;16;31;28;52;43;38;29;49;58;38;46;;58;63;30;38;28;28;45;43;32;15;<10;11;27
09.06.2015;07:00;28;41;19;<10;18;12;12;40;29;28;11;26;24;28;15;21;22;;39;27;26;20;16;<10;23;31;<10;31;<10;19;21;22;53;61;55;27;53;66;40;46;;75;63;38;47;31;27;62;42;45;17;;<10;25
09.06.2015;08:00;31;41;16;<10;11;12;14;40;24;20;12;15;17;18;18;25;18;13;40;24;20;16;16;12;17;27;<10;17;<10;18;18;;56;56;53;29;41;59;31;49;;61;68;41;33;22;22;43;22;44;13;<10;<10;23
09.06.2015;09:00;29;;13;<10;<10;<10;<10;33;21;18;14;<10;12;13;15;16;17;11;26;20;13;10;14;<10;13;18;<10;16;<10;16;16;;49;38;54;24;25;58;27;37;;58;58;30;;11;12;26;16;33;10;<10;<10;21
09.06.2015;10:00;26;;15;<10;11;<10;<10;28;12;<10;15;;15;13;13;;13;11;25;14;13;<10;12;11;13;16;<10;13;<10;14;13;<10;52;52;42;22;36;57;26;37;;49;41;28;24;18;12;33;21;31;<10;<10;<10;18
09.06.2015;11:00;20;;14;<10;<10;<10;<10;36;<10;;15;22;14;10;<10;11;14;<10;30;12;12;<10;13;<10;12;13;<10;<10;<10;13;11;<10;40;38;;19;37;49;;27;;60;47;34;26;15;16;38;38;35;<10;<10;<10;13
09.06.2015;12:00;15;;<10;<10;<10;<10;<10;29;<10;12;14;20;12;<10;<10;<10;12;<10;29;11;11;<10;<10;<10;11;11;<10;<10;<10;<10;10;<10;52;43;52;;27;56;27;33;;61;32;22;25;15;15;32;27;39;<10;<10;;12
09.06.2015;13:00;14;25;<10;<10;<10;<10;<10;30;11;16;;17;14;<10;<10;<10;13;11;22;<10;<10;<10;14;<10;<10;12;<10;<10;<10;15;<10;11;29;41;47;;27;48;28;;;47;27;20;22;18;;39;37;38;<10;<10;<10;10
09.06.2015;14:00;14;21;<10;<10;<10;<10;<10;26;<10;16;<10;21;11;<10;<10;<10;12;<10;19;11;<10;<10;11;<10;<10;11;<10;<10;<10;15;<10;<10;34;39;57;25;27;57;28;32;;62;43;22;32;13;12;37;38;35;<10;<10;<10;<10
09.06.2015;15:00;;21;<10;<10;<10;<10;<10;44;<10;15;<10;22;<10;<10;<10;<10;10;<10;22;12;<10;<10;22;<10;10;<10;<10;<10;;12;<10;<10;37;44;48;25;29;75;26;29;;60;56;21;37;15;14;33;29;32;<10;<10;<10;
09.06.2015;16:00;15;26;12;<10;10;<10;<10;30;10;14;<10;26;11;<10;<10;<10;15;<10;23;15;<10;<10;12;<10;11;16;;<10;<10;11;<10;<10;47;40;52;24;32;85;34;31;;69;43;25;46;16;13;35;29;40;<10;<10;<10;10
09.06.2015;17:00;15;27;11;<10;<10;<10;<10;39;<10;11;<10;23;<10;<10;;<10;13;<10;16;13;<10;<10;15;<10;11;18;<10;<10;<10;10;<10;<10;46;44;58;25;32;63;38;34;;62;41;24;35;15;13;26;26;;<10;<10;<10;<10
09.06.2015;18:00;17;35;;<10;<10;<10;<10;40;10;12;<10;22;<10;<10;<10;<10;15;11;18;15;12;<10;11;<10;<10;14;<10;<10;<10;11;<10;<10;40;40;51;24;;44;29;25;;68;40;31;37;17;13;48;21;41;10;<10;<10;<10
09.06.2015;19:00;18;26;12;<10;<10;<10;<10;26;12;<10;<10;22;<10;<10;<10;<10;16;10;19;19;<10;<10;<10;13;<10;15;<10;<10;<10;11;<10;<10;37;40;51;27;28;38;24;29;;53;40;23;27;14;12;40;24;40;;<10;<10;12
09.06.2015;20:00;17;30;11;<10;16;<10;<10;;12;<10;12;18;12;16;<10;<10;13;<10;15;19;11;<10;14;10;11;15;<10;;<10;<10;11;11;;39;43;26;29;43;21;43;;59;26;21;25;11;10;35;21;28;12;<10;<10;12
09.06.2015;21:00;18;35;15;<10;15;<10;<10;30;20;<10;<10;48;18;33;<10;<10;16;<10;22;24;23;13;15;<10;13;17;<10;30;<10;12;17;25;34;38;46;28;40;50;32;58;;63;;22;30;12;<10;43;37;41;12;<10;<10;21
09.06.2015;22:00;23;28;16;<10;;14;<10;35;29;<10;<10;65;22;37;12;13;22;14;44;26;;21;17;<10;23;34;<10;32;12;19;28;36;38;36;45;33;54;50;37;53;;68;54;26;33;19;19;;46;39;11;10;<10;34
09.06.2015;23:00;28;31;22;14;24;19;<10;31;24;27;<10;54;24;37;12;15;24;18;44;31;35;16;13;10;28;34;<10;40;25;16;28;32;42;33;55;50;34;48;40;46;;62;43;26;34;35;28;29;;40;11;<10;<10;41
09.06.2015;24:00;26;27;21;11;10;;<10;31;21;<10;<10;50;12;25;14;18;26;26;26;26;30;14;13;11;34;32;<10;37;28;15;25;29;45;26;47;42;33;36;31;34;;46;40;;23;29;31;19;25;39;<10;<10;<10;41
10.06.2015;01:00;21;19;27;11;<10;16;<10;20;19;<10;<10;39;14;15;<10;22;28;28;34;;33;;;12;26;43;<10;30;13;13;25;32;34;19;40;31;32;24;22;24;;48;29;20;18;21;23;20;24;30;<10;<10;<10;28
10.06.2015;02:00;20;19;21;11;<10;14;<10;13;21;<10;<10;26;14;16;<10;20;26;22;36;19;25;<10;16;<10;18;44;<10;24;11;13;27;30;42;17;31;24;33;22;20;21;;38;24;17;17;22;22;17;17;27;<10;<10;<10;23
10.06.2015;03:00;20;21;37;;<10;12;<10;12;18;<10;<10;18;18;14;12;22;20;21;25;21;24;<10;14;;18;36;<10;26;<10;10;23;28;39;13;32;28;27;27;14;26;;;30;18;18;;20;16;15;20;<10;10;<10;18
10.06.2015;04:00;22;18;41;<10;<10;15;<10;13;16;<10;11;24;23;;15;24;21;20;30;26;23;<10;13;<10;18;33;<10;36;12;14;24;26;41;;37;28;31;;16;29;;49;58;20;25;18;18;19;18;25;<10;14;<10;18
10.06.2015;05:00;26;29;43;11;20;16;<10;23;16;25;11;20;35;31;17;35;23;20;33;33;25;11;19;<10;19;56;<10;43;20;19;30;32;49;45;52;27;40;56;35;34;;71;62;33;37;27;25;30;34;41;15;26;<10;32
10.06.2015;06:00;27;48;42;14;29;20;12;40;25;28;11;29;41;35;22;46;;17;44;51;34;16;22;10;18;62;<10;36;24;37;38;30;45;54;57;44;50;60;40;42;;69;76;48;55;39;36;42;46;42;21;29;13;42
10.06.2015;07:00;32;46;67;12;24;26;13;47;;35;12;;36;31;30;50;29;19;40;53;28;20;24;13;;51;<10;27;20;37;37;28;60;67;70;39;54;62;41;38;;67;92;56;64;33;31;52;40;46;22;31;13;34
10.06.2015;08:00;45;48;45;11;21;23;10;52;24;24;;;;25;24;39;31;;36;37;28;16;20;18;24;43;<10;18;16;31;30;25;56;80;66;36;50;54;39;37;;78;89;53;55;22;22;49;37;43;24;;<10;26
10.06.2015;09:00;38;26;28;<10;12;17;<10;29;25;16;;26;;20;21;23;26;22;33;21;19;;27;13;22;21;<10;16;13;22;32;14;49;56;61;33;42;61;34;31;;59;56;45;27;21;19;31;38;40;22;11;<10;19
10.06.2015;10:00;35;17;24;<10;<10;14;<10;29;19;12;;18;;<10;17;13;20;16;34;20;15;;29;14;24;12;<10;11;<10;21;22;;52;45;54;29;34;59;32;;;54;48;42;;12;12;25;29;30;17;<10;<10;15
10.06.2015;11:00;25;27;18;<10;<10;<10;<10;21;14;<10;12;20;;<10;<10;;16;11;40;16;<10;;27;<10;21;11;<10;<10;<10;15;14;<10;47;43;49;22;27;46;29;;;48;40;33;29;13;13;31;22;28;11;<10;<10;12
10.06.2015;12:00;20;22;14;<10;<10;<10;<10;20;10;;<10;<10;;<10;<10;<10;11;<10;38;11;<10;;22;<10;<10;<10;<10;<10;<10;14;12;<10;52;43;;21;27;;;24;;51;58;29;27;12;<10;30;20;30;<10;<10;<10;<10
10.06.2015;13:00;15;;15;<10;<10;<10;<10;23;<10;13;<10;10;;<10;<10;11;15;<10;37;15;<10;;20;<10;<10;11;<10;<10;<10;15;12;<10;40;49;65;23;29;;32;27;;67;51;27;33;<10;<10;24;20;28;<10;<10;;<10
10.06.2015;14:00;14;30;19;<10;<10;<10;<10;27;<10;17;<10;<10;15;<10;<10;<10;<10;<10;26;15;<10;<10;24;<10;<10;11;<10;<10;<10;22;10;<10;33;56;71;;36;63;30;26;;63;57;26;33;<10;;30;23;29;<10;<10;<10;<10
10.06.2015;15:00;17;28;16;<10;<10;<10;<10;24;10;15;<10;16;12;<10;<10;10;10;<10;33;16;<10;<10;24;<10;<10;13;<10;<10;<10;14;11;<10;42;54;68;21;41;80;35;29;;59;51;27;35;<10;<10;21;25;24;<10;<10;<10;<10
10.06.2015;16:00;;29;16;<10;<10;<10;<10;31;11;13;<10;14;20;<10;<10;<10;11;<10;28;17;<10;<10;30;<10;<10;14;<10;<10;;12;<10;<10;36;60;72;15;37;81;41;28;;58;45;28;41;10;12;28;26;23;<10;<10;<10;
10.06.2015;17:00;;27;13;<10;<10;10;<10;34;11;13;<10;16;13;12;<10;12;12;<10;20;19;<10;<10;25;<10;<10;14;;<10;<10;<10;10;<10;35;57;71;17;39;72;30;25;;61;45;31;35;11;12;23;25;28;10;<10;<10;<10
10.06.2015;18:00;;28;11;<10;<10;<10;<10;37;<10;11;<10;14;14;11;;13;11;<10;22;27;10;<10;24;<10;<10;15;<10;<10;<10;<10;13;<10;34;59;62;16;41;57;34;26;;62;49;26;40;<10;<10;22;27;;<10;10;<10;<10
10.06.2015;19:00;;26;;<10;<10;<10;<10;24;12;11;<10;12;18;15;<10;15;13;<10;24;28;13;<10;22;<10;<10;15;<10;<10;<10;<10;16;<10;31;52;62;23;;52;32;25;;56;35;27;31;<10;10;18;24;30;<10;<10;<10;<10
10.06.2015;20:00;;34;14;<10;<10;<10;<10;16;14;13;<10;11;18;15;<10;11;14;<10;25;21;10;<10;24;<10;<10;16;<10;<10;<10;<10;22;<10;33;46;73;28;34;36;26;24;;55;23;24;26;<10;12;18;27;29;;<10;<10;<10
10.06.2015;21:00;;38;19;<10;10;13;<10;;18;18;<10;14;26;15;<10;13;15;<10;26;33;15;<10;23;<10;<10;20;<10;;<10;15;23;<10;;49;65;33;35;38;34;22;;66;36;25;29;12;13;25;27;32;13;14;<10;<10
10.06.2015;22:00;;47;20;22;21;14;12;32;22;26;<10;19;31;24;<10;15;17;11;25;29;16;14;26;<10;11;25;<10;<10;25;13;26;15;28;50;71;43;46;39;35;43;;74;;22;28;14;16;31;34;33;14;17;<10;10
10.06.2015;23:00;;55;17;14;;19;12;31;29;29;<10;21;36;21;<10;11;20;15;26;17;;13;20;15;17;26;<10;11;24;<10;32;15;38;43;74;42;46;55;37;35;;61;41;38;21;13;17;;36;40;18;13;11;15
10.06.2015;24:00;;31;17;<10;<10;14;<10;26;32;20;<10;27;34;28;<10;12;22;18;29;13;18;12;20;23;17;36;<10;19;26;<10;30;12;38;31;57;35;37;49;30;36;;47;39;31;13;13;16;16;;29;18;<10;10;18
11.06.2015;01:00;;21;25;<10;<10;;<10;27;27;13;<10;38;20;13;14;11;24;15;32;12;21;11;17;<10;16;73;<10;12;17;<10;22;24;38;20;42;35;26;28;24;21;;31;41;;<10;14;18;14;20;34;12;<10;<10;25
11.06.2015;02:00;;23;16;<10;<10;<10;<10;16;12;20;<10;16;19;12;14;21;21;18;28;;25;<10;;<10;21;80;<10;19;15;11;20;14;30;17;27;26;21;25;17;20;;31;48;23;<10;16;20;14;22;24;12;22;<10;22
11.06.2015;03:00;;16;14;<10;<10;<10;<10;23;24;23;<10;16;25;17;16;18;23;22;31;<10;25;10;<10;<10;16;79;<10;23;13;13;19;14;36;18;27;19;28;19;18;29;;27;40;21;29;15;19;15;28;24;14;11;<10;19
11.06.2015;04:00;;17;21;;<10;10;<10;32;17;24;<10;21;30;20;20;16;25;16;34;11;23;12;11;;16;67;<10;34;17;11;21;14;35;21;39;25;24;29;26;33;;;56;18;15;;19;16;21;32;15;31;<10;25
11.06.2015;05:00;;38;26;15;15;13;11;40;32;30;<10;21;27;;38;29;28;16;45;26;38;15;18;12;20;71;<10;39;34;18;32;18;46;;60;31;31;44;39;32;;66;75;39;42;26;25;27;32;43;22;35;16;39
11.06.2015;06:00;;47;41;17;28;26;16;59;38;39;11;21;32;40;44;38;35;26;42;43;55;20;21;19;26;83;<10;30;42;32;43;21;56;58;67;43;51;59;51;42;;69;96;63;83;34;32;38;41;59;30;40;18;35
11.06.2015;07:00;;58;60;16;33;33;16;78;39;44;<10;27;41;38;41;46;;31;49;52;53;28;22;26;31;78;<10;30;31;34;35;14;75;77;80;45;52;73;56;45;;91;139;74;69;41;34;44;46;56;37;34;16;41
11.06.2015;08:00;;53;38;16;31;39;15;73;;49;<10;29;45;37;40;42;37;32;58;34;45;23;25;19;;42;<10;26;22;;33;13;62;78;75;40;49;70;50;42;;90;126;70;55;34;31;31;42;52;42;18;13;37
11.06.2015;09:00;;44;17;12;31;36;14;66;25;40;<10;;44;37;32;29;39;;48;12;35;15;30;15;28;30;<10;22;18;;33;<10;63;67;65;29;49;71;53;49;;;91;47;25;27;30;28;50;47;35;;15;30
11.06.2015;10:00;;26;12;<10;27;19;19;52;16;36;<10;24;;32;27;19;39;27;48;<10;28;11;35;10;25;15;<10;12;<10;;28;<10;44;45;60;21;46;68;44;39;;;67;30;19;42;39;25;41;36;29;12;13;23
11.06.2015;11:00;;22;<10;<10;14;<10;11;42;10;26;;12;;18;;13;38;22;47;<10;14;<10;23;<10;12;<10;<10;<10;<10;;17;;39;41;58;19;38;59;26;27;;70;100;27;;37;33;17;27;36;26;<10;<10;<10
11.06.2015;12:00;;17;<10;<10;<10;<10;14;44;<10;15;<10;<10;;<10;;;25;16;31;<10;12;<10;15;<10;11;<10;<10;<10;<10;;<10;<10;33;46;60;17;35;50;24;;;82;79;23;33;24;22;21;24;36;16;<10;11;<10
11.06.2015;13:00;<10;26;12;<10;<10;<10;<10;32;<10;;<10;<10;;<10;;<10;18;10;33;<10;<10;<10;14;<10;15;<10;<10;<10;<10;<10;<10;<10;32;43;;18;37;70;;26;;73;50;19;26;20;14;18;32;33;14;<10;<10;<10
11.06.2015;14:00;<10;;11;<10;<10;<10;<10;33;<10;15;<10;<10;;10;<10;<10;23;<10;29;13;<10;;16;<10;11;<10;<10;<10;<10;15;<10;<10;48;47;65;17;38;;30;29;;65;68;27;40;24;11;21;26;34;12;<10;;<10
11.06.2015;15:00;<10;23;<10;<10;<10;<10;<10;42;10;16;<10;<10;;<10;<10;14;23;<10;31;<10;<10;<10;15;<10;<10;<10;<10;<10;<10;<10;<10;<10;40;56;79;;46;97;47;28;;81;72;24;40;22;;22;24;34;14;<10;<10;<10
11.06.2015;16:00;<10;25;<10;<10;<10;<10;<10;47;<10;16;<10;<10;;<10;<10;13;20;<10;18;<10;<10;<10;14;<10;<10;<10;<10;<10;<10;<10;<10;<10;43;64;77;21;50;110;41;25;;85;75;26;29;26;<10;23;35;37;13;13;<10;<10
11.06.2015;17:00;<10;24;<10;<10;<10;<10;<10;39;<10;15;<10;<10;;11;<10;12;19;<10;14;<10;11;<10;20;<10;11;<10;<10;<10;;<10;<10;<10;38;69;81;20;42;103;34;24;;79;59;26;17;40;<10;28;26;46;13;<10;<10;
11.06.2015;18:00;<10;19;12;<10;<10;<10;<10;47;<10;14;<10;<10;;10;<10;<10;22;<10;16;<10;10;<10;12;<10;11;<10;;<10;<10;<10;11;<10;30;48;74;16;42;70;30;20;;83;107;28;46;23;<10;31;29;45;14;<10;<10;10
